feature,impurity_importance,impurity_rank
feature_496,0.0016259281085297533,279
feature_50,0.001622359012907267,280
feature_255,0.0016200199212074242,281
feature_89,0.0016175705775078875,282
feature_457,0.0016081424108535093,283
feature_199,0.0015905513185719695,284
feature_294,0.001584589501566563,285
feature_254,0.0015842367286167177,286
feature_525,0.0015770203480419864,287
feature_222,0.0015725868860992664,288
feature_99,0.0015723520191485729,289
feature_154,0.0015679520524744344,290
feature_448,0.0015628392332076588,291
feature_437,0.0015622325283887438,292
feature_24,0.0015600165175199629,293
feature_88,0.0015590039844340135,294
feature_527,0.0015589346526460887,295
feature_96,0.0015517347303013727,296
feature_555,0.0015499923435901698,297
feature_576,0.001548997067260102,298
feature_188,0.0015466187713372786,299
feature_268,0.001545597018919176,300
feature_583,0.0015444624848839276,301
feature_444,0.0015431076447486728,302
feature_418,0.0015383003115863655,303
feature_34,0.0015379866770023835,304
feature_283,0.001532882181290359,305
feature_585,0.0015297770963468935,306
feature_407,0.0015265384499072877,307
feature_562,0.0015217973475544777,308
feature_570,0.0015205722295718203,309
feature_224,0.0015173954465741708,310
feature_366,0.0015067370995642893,311
feature_362,0.0015046457608663285,312
feature_340,0.0014928994452306106,313
feature_474,0.0014923583754411916,314
feature_212,0.0014887678268378337,315
feature_289,0.0014861303485714354,316
feature_584,0.0014815127256686904,317
feature_84,0.0014758552329645115,318
feature_523,0.001473554316709665,319
feature_27,0.0014713282790169702,320
feature_479,0.0014699402241951007,321
feature_550,0.0014692040941915374,322
feature_139,0.0014626448387755286,323
feature_275,0.0014612105267790944,324
feature_415,0.001451709409845968,325
feature_279,0.0014433942173629594,326
feature_164,0.0014409590250941432,327
feature_551,0.001435418023820344,328
feature_305,0.0014327942784515368,329
feature_526,0.0014189420674878127,330
feature_282,0.0014189100737170093,331
feature_568,0.001418809628804559,332
feature_338,0.0014087079752333903,333
feature_36,0.0014082552102479672,334
feature_29,0.0014061252728968653,335
feature_238,0.0014048628855596623,336
feature_548,0.0013959753741485047,337
feature_308,0.0013914317709295934,338
feature_297,0.001389519035462965,339
feature_155,0.0013879573697105085,340
feature_169,0.001387512895462573,341
feature_359,0.0013857218921492576,342
